#,Negocio,Rubro,Zona,Score,Prioridad,Estado,Teléfono,Email,Instagram,Fecha contacto,Fecha follow-up,Web
1,My Spa,Clínicas,Punta Carretas,75,Caliente,No interesado,098 227 362,,facebook.com/MySpaUruguay,2026-07-06,,myspauruguay.com
2,Don Aurelio Pizzas,Restaurantes,Pocitos,75,Caliente,No interesado,2622 0066 / WA 096 416 000,,@donaureliopizzas,2026-07-06,2026-07-21,
3,Francachela,Restaurantes,Montevideo,75,Caliente,Contactado,,,@francachela_montevideo,2026-07-06,,
4,La 9 Pizza & Parrilla,Restaurantes,Montevideo,75,Caliente,Contactado,,,@la9pizzayparrilla.mvd,2026-07-06,,
5,Pistatxo Fusión,Restaurantes,Pocitos,75,Caliente,Contactado,,,,2026-07-06,,pistatxo.com
6,Bazar El Tío,Bazares,Villa Muñoz,70,Caliente,Contactado,092 795 886,,,2026-07-06,,
7,Gift Shop,Bazares,Cordón,70,Caliente,No interesado,,,,2026-07-06,,giftshop.uy
8,Hay de Todo,Bazares,Montevideo,70,Caliente,Contactado,,,,2026-07-06,,haydetodo.com.uy
9,Amatista Centro de Bienestar,Clínicas,Centro,70,Caliente,No interesado,,,,2026-07-06,,
10,Serenity Holistic Spa,Clínicas,Pocitos,70,Caliente,Contactado,,,,2026-07-06,,
11,TCP – Terapia Científica Podológica,Clínicas,Av. Rivera y Centro,70,Caliente,Respondió,2622 3222 / marketing: 091 602 733,,,2026-07-17,2026-07-21,ortopedia.com.uy
12,El Bebote de TikTok,Restaurantes,La Blanqueada,70,Caliente,Pendiente,,,,,,
13,Estrecho,Restaurantes,Ciudad Vieja,70,Caliente,Respondió,2915 6107 / dueños: 094 828 504,contacto@estrecho.uy,,2026-07-07,2026-07-21,
14,Pomelo,Restaurantes,Punta Carretas,70,Caliente,Contactado,094 223 696,,@pomelo.montevideo,2026-07-17,,
15,Podología Total,Clínicas,Montevideo,65,Alta,Respondió,099 204 359,info@podologiatotal.com,,2026-07-07,2026-08-18,podologiatotal.com
16,Bienestar Fisioterapia Personalizada,Clínicas,Parque Batlle y Carrasco,60,Alta,Contactado,,info@bienestarfp.com.uy,,2026-07-18,2026-07-22,bienestarfp.com.uy
17,Centro Kinesiológico,Clínicas,Montevideo,60,Alta,Contactado,,centrokinesiologico6@gmail.com,,2026-07-07,,centrokinesiologico.com.uy
18,Clínica Odontológica Las Torres,Clínicas,Montevideo,60,Alta,Contactado,092 553 658,consulastorres@gmail.com,,2026-07-07,,odontolastorres.com
19,Vital Pie,Clínicas,Montevideo,60,Alta,Contactado,098 740 369,vitalpiepodologiamedica@gmail.com,,2026-07-07,,vitalpie.uy
20,Bar Tabaré,Restaurantes,Punta Carretas,60,Alta,Contactado,2712 3242,bartabare@bartabare.com,@cafe_bar_tabare,2026-07-18,2026-07-22,bartabare.com
21,Primuseum,Restaurantes,Ciudad Vieja,60,Alta,Contactado,099 217 645,info@primuseum.com,@primuseum,2026-07-07,,primuseum.com
22,Recoleta Pizza & Parrilla,Restaurantes,Barrio Sur,60,Alta,Contactado,2901 5325,recoletauy@gmail.com,@recoleta_uy,2026-07-10,,recoleta.com.uy
23,Tandory,Restaurantes,Pocitos,60,Alta,Respondió,,,@tandory,2026-07-07,,tandory.com.uy
24,Clínica Odontológica Dr. Sales,Clínicas,Parque Rodó,55,Alta,Contactado,2419 8941,info@clinicasales.com.uy,,2026-07-18,2026-07-22,clinicasales.com.uy
25,Sandra Reyes En Sueños,Clínicas,Av. Italia y A. Gallinal,55,Alta,Contactado,094 084 362,sandrareyensuenos@gmail.com,,2026-07-18,2026-07-22,sandrareyensuenos.wixsite.com/ensuenos
26,El Palenque,Restaurantes,Mercado del Puerto,55,Alta,Contactado,,info@elpalenque.com,,2026-07-18,2026-07-22,elpalenque.com.uy
27,Clínica Fisiomed,Clínicas,Montevideo,50,Alta,Contactado,,contacto@fisiomed.com.uy,,2026-07-07,,fisiomed.com.uy
28,Dental.uy,Clínicas,Montevideo,50,Alta,Contactado,092 611 613,info@dental.uy,,2026-07-07,,dental.uy
29,Podología Clínica,Clínicas,Zona Montevideo Shopping,50,Alta,Contactado,097 179 329,info@podologia.com.uy,,2026-07-10,2026-07-13,podologia.com.uy
30,Parrillada Montevideo,Restaurantes,Montevideo,50,Alta,Pendiente,,,,,,parrillada-montevideo.square.site
31,Cinesia,Clínicas,Montevideo,45,Media,Contactado,,sapiroluciana@gmail.com,,2026-07-07,,cinesia.uy
32,Consultorio Brandariz,Clínicas,Bvar. Artigas 1443,45,Media,Contactado,2711 2666,brandarizjoser@gmail.com,,2026-07-10,2026-07-13,brandariz.com.uy
33,Fisioterapia Uruguay,Clínicas,Montevideo,45,Media,Contactado,,consultas@fisioterapia.uy,,2026-07-18,2026-07-22,fisioterapia.uy
34,RealEssence Podología,Clínicas,Pocitos,45,Media,Contactado,,info@realessence.com,,2026-07-18,2026-07-22,realessenceuy.com
35,El Rastro Parrillita,Restaurantes,Cordón,45,Media,Contactado,2408 2129,reservas@elrastroparrillita.com.uy,@parrillitaelrastro,2026-07-10,2026-07-12,elrastroparrillita.com.uy
36,García Parrilla Clásica y Bar,Restaurantes,Punta Carretas y Carrasco,45,Media,Contactado,2600 2763,contacto@garcia.com.uy,@garciauruguay,2026-07-10,,garcia.com.uy
37,La 32 Parrillada,Restaurantes,Montevideo,45,Media,Contactado,,la32parrillada@gmail.com,,2026-07-18,2026-07-22,la32parrillada.com.uy
38,La Otra Parrilla,Restaurantes,Montevideo,45,Media,Contactado,,santiago@laotraparrilla.com,,2026-07-18,2026-07-22,laotraparrilla.com
39,La Perdiz,Restaurantes,Punta Carretas,45,Media,Contactado,2711 8963,contacto@laperdizrestaurant.com,,2026-07-10,2026-07-12,laperdiz.com.uy
40,ABC Home Bazar,Bazares,Montevideo,40,Media,Contactado,092 219 456,ventas@abchome.com.uy,,2026-07-07,,abchome.com.uy
41,Bazar News,Bazares,Centro,40,Media,Respondió,095 886 724,contacto@bazarnews.com.uy,,2026-07-07,2026-07-21,bazarnews.com.uy
